Pizza_type_id,Name,Category,Description
231,Choco Lava Cake,Veg,"Chocolate lovers delight! Indulgent, gooey molten lava inside chocolate cake"
232,Choco Lava Cake,Nonveg,"Chocolate lovers delight! Indulgent, gooey molten lava inside chocolate cake"
233,Butterscotch Mousse Cake,Veg,Sweet temptation! Butterscotch flavored mousse
234,Butterscotch Mousse Cake,Nonveg,Sweet temptation! Butterscotch flavored mousse
235,Work from Home  Veg Treat,Veg,Reg Cheese & Corn Pizza + Pepsi
236,Work from Home  Veg Treat,Nonveg,Reg Cheese & Corn Pizza + Pepsi
237,Work from Home Non Veg Treat,Veg,Reg Chicken Sausage Pizza + Pepsi
238,Work from Home Non Veg Treat,Nonveg,Reg Chicken Sausage Pizza + Pepsi
239,Pizza & Juice Partnership - Paneer Spl Combo  (Meal for 1),Veg,Reg Peppy Paneer + B Natural Mixed Fruit from Himalayas
240,Pizza & Juice Partnership - Paneer Spl Combo  (Meal for 1),Nonveg,Reg Peppy Paneer + B Natural Mixed Fruit from Himalayas
241,Family House Party – Veg Deluxe Combo,Veg,Large Veg Extravaganza Pizza + 2 Garlic Bread + 4 Choco lava cake + 2 Pepsi
242,Family House Party – Veg Deluxe Combo,Nonveg,Large Veg Extravaganza Pizza + 2 Garlic Bread + 4 Choco lava cake + 2 Pepsi
243,Paneer Spice Supreme,Veg,"Loaded with Paneer, Red Paprika, Olives and Jalapeno; The Best a No Onion No Garlic Pizza can get!"
244,Paneer Spice Supreme,Nonveg,"Loaded with Paneer, Red Paprika, Olives and Jalapeno; The Best a No Onion No Garlic Pizza can get!"
